,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
346,Capital,Mendoza,400.0,230.0,3.0,4.0,210000.0
347,Capital,Mendoza,300.0,160.0,3.0,3.0,220000.0
348,Capital,Mendoza,380.0,240.0,3.0,4.0,240000.0
350,Capital,Mendoza,450.0,210.0,2.0,3.0,220000.0
351,Capital,Mendoza,300.0,217.0,3.0,3.0,298000.0
352,Capital,Mendoza,224.0,224.0,3.0,5.0,120000.0
353,Capital,Mendoza,300.0,212.0,3.0,3.0,285000.0
354,Capital,Mendoza,600.0,170.0,2.0,2.0,290000.0
355,Capital,Mendoza,120.0,105.0,2.0,2.0,120000.0
356,Capital,Mendoza,351.0,226.0,2.0,4.0,65000.0
357,Capital,Mendoza,530.0,305.0,4.0,4.0,440000.0
358,Capital,Mendoza,700.0,490.0,5.0,5.0,250000.0
359,Capital,Mendoza,168.0,116.0,1.0,3.0,55000.0
360,Capital,Mendoza,300.0,220.0,3.0,4.0,340000.0
361,Capital,Mendoza,140.0,130.0,2.0,3.0,115000.0
362,Capital,Mendoza,930.0,550.0,5.0,5.0,1200000.0
363,Capital,Mendoza,600.0,330.0,4.0,5.0,350000.0
364,Capital,Mendoza,412.0,270.0,3.0,4.0,160000.0
365,Capital,Mendoza,134.0,101.0,1.0,2.0,52000.0
366,Capital,Mendoza,280.0,280.0,3.0,3.0,163000.0
367,Capital,Mendoza,300.0,190.0,3.0,3.0,228000.0
368,Capital,Mendoza,500.0,350.0,4.0,4.0,350000.0
369,Capital,Mendoza,369.0,255.0,3.0,3.0,280000.0
370,Capital,Mendoza,110.0,140.0,3.0,4.0,98000.0
371,Capital,Mendoza,337.0,300.0,4.0,5.0,270000.0
372,Capital,Mendoza,300.0,192.0,2.0,3.0,140000.0
373,Capital,Mendoza,450.0,330.0,5.0,6.0,315000.0
374,Capital,Mendoza,450.0,285.0,3.0,3.0,285000.0
375,Capital,Mendoza,600.0,260.0,3.0,5.0,320000.0
376,Capital,Mendoza,1300.0,530.0,6.0,6.0,600000.0
377,Capital,Mendoza,500.0,256.0,4.0,6.0,210000.0
378,Capital,Mendoza,450.0,165.0,3.0,4.0,185000.0
379,Capital,Mendoza,271.0,194.0,3.0,3.0,100000.0
380,Capital,Mendoza,527.0,205.0,2.0,3.0,76500.0
381,Capital,Mendoza,350.0,193.0,3.0,3.0,119000.0
382,Capital,Mendoza,450.0,230.0,3.0,5.0,155000.0
383,Capital,Mendoza,180.0,120.0,3.0,2.0,240000.0
384,Capital,Mendoza,209.0,118.0,2.0,3.0,65000.0
385,Capital,Mendoza,600.0,570.0,2.0,3.0,390000.0
386,Capital,Mendoza,210.0,196.0,1.0,3.0,210000.0
387,Capital,Mendoza,225.0,168.0,3.0,3.0,95000.0
388,Capital,Mendoza,200.0,320.0,3.0,3.0,175000.0
389,Capital,Mendoza,226.0,160.0,2.0,3.0,115000.0
390,Capital,Mendoza,260.0,330.0,3.0,4.0,300000.0
391,Capital,Mendoza,300.0,195.0,3.0,4.0,155000.0
392,Capital,Mendoza,720.0,380.0,6.0,3.0,500000.0
393,Capital,Mendoza,600.0,220.0,3.0,5.0,230000.0
394,Capital,Mendoza,420.0,240.0,3.0,3.0,245000.0
395,Capital,Mendoza,110.0,100.0,2.0,2.0,105000.0
396,Capital,Mendoza,430.0,360.0,4.0,3.0,240000.0
397,Capital,Mendoza,255.0,246.0,4.0,3.0,125000.0
398,Capital,Mendoza,363.0,275.0,3.0,5.0,260000.0
399,Capital,Mendoza,210.0,116.0,1.0,3.0,78000.0
