,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
360,Capital,Mendoza,300m2,220m2,3,4,US$ 340.000
361,Capital,Mendoza,140m2,130m2,2,3,US$ 115.000
362,Capital,Mendoza,930m2,550m2,5,5,US$ 1.200.000
363,Capital,Mendoza,600m2,330m2,4,5,US$ 350.000
364,Capital,Mendoza,412m2,270m2,3,4,US$ 160.000
365,Capital,Mendoza,134m2,101m2,1,2,US$ 52.000
366,Capital,Mendoza,280m2,280m2,3,3,US$ 163.000
367,Capital,Mendoza,300m2,190m2,3,3,US$ 228.000
368,Capital,Mendoza,500m2,350m2,4,4,US$ 350.000
369,Capital,Mendoza,369m2,255m2,3,3,US$ 280.000
370,Capital,Mendoza,110m2,140m2,3,4,US$ 98.000
371,Capital,Mendoza,337m2,300m2,4,5,US$ 270.000
372,Capital,Mendoza,300m2,192m2,2,3,US$ 140.000
373,Capital,Mendoza,450m2,330m2,5,6,US$ 315.000
374,Capital,Mendoza,450m2,285m2,3,3,US$ 285.000
375,Capital,Mendoza,600m2,260m2,3,5,US$ 320.000
376,Capital,Mendoza,1300m2,530m2,6,6,US$ 600.000
377,Capital,Mendoza,500m2,256m2,4,6,US$ 210.000
378,Capital,Mendoza,450m2,165m2,3,4,US$ 185.000
379,Capital,Mendoza,271m2,194m2,3,3,US$ 100.000
380,Capital,Mendoza,527m2,205m2,2,3,US$ 76.500
381,Capital,Mendoza,350m2,193m2,3,3,US$ 119.000
382,Capital,Mendoza,450m2,230m2,3,5,US$ 155.000
383,Capital,Mendoza,180m2,120m2,3,2,US$ 240.000
384,Capital,Mendoza,209m2,118m2,2,3,US$ 65.000
385,Capital,Mendoza,600m2,570m2,2,3,US$ 390.000
386,Capital,Mendoza,210m2,196m2,1,3,US$ 210.000
387,Capital,Mendoza,225m2,168m2,3,3,US$ 95.000
388,Capital,Mendoza,200m2,320m2,3,3,US$ 175.000
389,Capital,Mendoza,226m2,160m2,2,3,US$ 115.000
390,Capital,Mendoza,260m2,330m2,3,4,US$ 300.000
391,Capital,Mendoza,300m2,195m2,3,4,US$ 155.000
392,Capital,Mendoza,720m2,380m2,6,3,US$ 500.000
393,Capital,Mendoza,600m2,220m2,3,5,US$ 230.000
394,Capital,Mendoza,420m2,240m2,3,3,US$ 245.000
395,Capital,Mendoza,110m2,100m2,2,2,US$ 105.000
396,Capital,Mendoza,430m2,360m2,4,3,US$ 240.000
397,Capital,Mendoza,255m2,246m2,4,3,US$ 125.000
398,Capital,Mendoza,363m2,275m2,3,5,US$ 260.000
399,Capital,Mendoza,210m2,116m2,1,3,US$ 78.000
